date,product,discount,amount,Tablet Basic,Tablet Mini,Tablet Pro,kosten_basic,kosten_mini,kosten_pro,transaction_id
2021-11-01,Tablet Basic,1.0,5,1,0,0,170.0181177003462,,,22
2021-11-01,Tablet Basic,1.0,7,1,0,0,170.019764764014,,,24
2021-11-01,Tablet Basic,0.9,7,1,0,0,210.0329412733567,,,40
2021-11-01,Tablet Basic,1.0,10,1,0,0,170.0782355242221,,,95
2021-11-01,Tablet Basic,1.0,4,1,0,0,170.0856473107274,,,104
2021-11-01,Tablet Basic,1.0,9,1,0,0,150.1523533892747,,,185
2021-11-01,Tablet Basic,0.9,8,1,0,0,210.1572945802782,,,191
2021-11-01,Tablet Basic,1.0,7,1,0,0,150.1671769622852,,,203
2021-11-01,Tablet Basic,1.0,5,1,0,0,150.1712946214548,,,208
2021-11-01,Tablet Basic,1.0,5,1,0,0,170.1770593442922,,,215
2021-11-01,Tablet Basic,1.0,5,1,0,0,150.179529939794,,,218
2021-11-01,Tablet Basic,1.0,3,1,0,0,150.1852946626313,,,225
2021-11-01,Tablet Basic,1.0,5,1,0,0,150.1976476401401,,,240
2021-11-01,Tablet Basic,1.0,8,1,0,0,150.2174124041541,,,264
2021-11-01,Tablet Basic,1.0,7,1,0,0,190.219059467822,,,266
2021-11-01,Tablet Basic,1.0,5,1,0,0,150.2264712543272,,,275
2021-11-01,Tablet Basic,1.0,6,1,0,0,150.2709419733587,,,329
2021-11-01,Tablet Mini,1.0,8,0,1,0,,205.9232056564872,,373
2021-11-01,Tablet Mini,1.0,8,0,1,0,,207.8721466827843,,621
2021-11-01,Tablet Mini,1.0,1,0,1,0,,205.8690584384072,,636
2021-11-01,Tablet Mini,1.0,5,0,1,0,,206.8575289927323,,692
2021-11-01,Tablet Basic,1.0,10,1,0,0,170.5978841114239,,,726
2021-11-01,Tablet Basic,0.9,11,1,0,0,210.6201194709396,,,753
2021-11-02,Tablet Basic,1.0,2,1,0,0,150.6596489989676,,,801
2021-11-02,Tablet Basic,0.9,3,1,0,0,170.6670607854729,,,810
2021-11-02,Tablet Basic,1.0,5,1,0,0,150.6720019764764,,,816
2021-11-02,Tablet Basic,0.9,7,1,0,0,150.7074138453348,,,859
2021-11-02,Tablet Mini,0.9,10,0,1,0,,207.8190288794967,,879
2021-11-02,Tablet Mini,1.0,10,0,1,0,,205.8163524010365,,892
2021-11-02,Tablet Basic,0.9,12,1,0,0,250.755178691702,,,917
2021-11-02,Tablet Basic,1.0,11,1,0,0,190.785649369557,,,954
2021-11-02,Tablet Basic,0.9,4,1,0,0,170.7922376242283,,,962
2021-11-02,Tablet Basic,1.0,6,1,0,0,170.7963552833979,,,967
2021-11-02,Tablet Basic,1.0,3,1,0,0,170.8202377065815,,,996
2021-11-02,Tablet Basic,1.0,5,1,0,0,150.8276494930867,,,1005
2021-11-02,Tablet Basic,0.9,10,1,0,0,270.8424730660972,,,1023
2021-11-02,Tablet Basic,1.0,5,1,0,0,150.8432965979312,,,1024
2021-11-02,Tablet Mini,1.0,2,0,1,0,,205.7801170003441,,1068
2021-11-02,Tablet Mini,1.0,9,0,1,0,,205.7764111070915,,1086
2021-11-02,Tablet Mini,1.0,3,0,1,0,,205.7634404807073,,1149
2021-11-02,Tablet Mini,1.0,6,0,1,0,,206.7628228318319,,1152
2021-11-02,Tablet Mini,1.0,5,0,1,0,,205.7617934170395,,1157
2021-11-02,Tablet Mini,1.0,8,0,1,0,,205.7545875134927,,1192
2021-11-02,Tablet Mini,1.0,1,0,1,0,,205.7393521745652,,1266
2021-11-02,Tablet Pro,1.0,4,0,0,1,,,645.8035611869446,1301
2021-11-02,Tablet Basic,1.0,6,1,0,0,151.0895326162724,,,1323
2021-11-02,Tablet Basic,0.9,8,1,0,0,191.0969444027776,,,1332
2021-11-02,Tablet Pro,1.0,8,0,0,1,,,685.8356789284675,1353
2021-11-02,Tablet Basic,0.9,6,1,0,0,211.1290621443004,,,1371
2021-11-02,Tablet Pro,1.0,5,0,0,1,,,685.8492672037271,1375
2021-11-02,Tablet Basic,0.9,6,1,0,0,171.1784740543355,,,1431
2021-11-02,Tablet Basic,1.0,3,1,0,0,151.2254153688687,,,1488
2021-11-02,Tablet Basic,1.0,1,1,0,0,151.2377683463775,,,1503
2021-11-02,Tablet Basic,1.0,2,1,0,0,151.2394154100453,,,1505
2021-11-02,Tablet Basic,0.9,9,1,0,0,211.2418860055471,,,1508
2021-11-02,Tablet Basic,1.0,4,1,0,0,151.2501213238862,,,1518
2021-11-02,Tablet Basic,0.9,3,1,0,0,151.252591919388,,,1521
2021-11-03,Tablet Mini,0.9,10,0,1,0,,214.6784108188554,,1562
2021-11-03,Tablet Mini,1.0,7,0,1,0,,205.6705872664331,,1600
2021-11-03,Tablet Mini,1.0,1,0,1,0,,205.6456754284571,,1721
2021-11-03,Tablet Mini,0.9,9,0,1,0,,210.631881270239,,1788
2021-11-03,Tablet Pro,1.0,8,0,0,1,,,686.1142385712899,1804
2021-11-03,Tablet Pro,1.0,7,0,0,1,,,686.1222680066707,1817
2021-11-03,Tablet Mini,1.0,4,0,1,0,,206.6184988779379,,1853
2021-11-03,Tablet Basic,0.9,12,1,0,0,211.5540045706017,,,1887
2021-11-03,Tablet Basic,0.9,6,1,0,0,151.5572986979373,,,1891
2021-11-03,Tablet Basic,1.0,2,1,0,0,151.5589457616052,,,1893
