date,product,discount,amount,Tablet Basic,Tablet Mini,Tablet Pro,kosten_basic,kosten_mini,kosten_pro,transaction_id
2021-11-01,Tablet Basic,0.9,5,1,0,0,220.0148235730105,,,18
2021-11-01,Tablet Basic,1.0,2,1,0,0,160.0321177415228,,,39
2021-11-01,Tablet Basic,1.0,3,1,0,0,160.0469413145333,,,57
2021-11-01,Tablet Basic,1.0,1,1,0,0,160.0510589737029,,,62
2021-11-01,Tablet Basic,1.0,1,1,0,0,160.0625884193777,,,76
2021-11-01,Tablet Basic,1.0,3,1,0,0,160.0642354830455,,,78
2021-11-01,Tablet Basic,1.0,4,1,0,0,180.0988238200701,,,120
2021-11-01,Tablet Basic,1.0,1,1,0,0,160.1894123218009,,,230
2021-11-01,Tablet Basic,1.0,3,1,0,0,160.2371771681682,,,288
2021-11-01,Tablet Basic,0.9,4,1,0,0,180.2536478048465,,,308
2021-11-01,Tablet Mini,1.0,3,0,1,0,,216.9260880179059,,359
2021-11-01,Tablet Mini,1.0,2,0,1,0,,215.9192938802761,,392
2021-11-01,Tablet Mini,1.0,1,0,1,0,,215.9180585825252,,398
2021-11-01,Tablet Mini,1.0,2,0,1,0,,215.9151762211065,,412
2021-11-01,Tablet Mini,1.0,3,0,1,0,,217.9098232641861,,438
2021-11-01,Tablet Mini,1.0,3,0,1,0,,215.9065291368504,,454
2021-11-01,Tablet Mini,1.0,1,0,1,0,,215.9030291265562,,471
2021-11-01,Tablet Mini,1.0,3,0,1,0,,217.9011761799299,,480
2021-11-01,Tablet Mini,1.0,3,0,1,0,,215.8945879252586,,512
2021-11-01,Tablet Mini,1.0,3,0,1,0,,215.8826467136668,,570
2021-11-01,Tablet Mini,1.0,1,0,1,0,,215.8764702249124,,600
2021-11-01,Tablet Basic,1.0,3,1,0,0,160.4982367595199,,,605
2021-11-01,Tablet Mini,1.0,2,0,1,0,,215.8737937464522,,613
2021-11-01,Tablet Mini,1.0,1,0,1,0,,215.8676172576978,,643
2021-11-01,Tablet Mini,0.9,2,0,1,0,,215.8626760666943,,667
2021-11-01,Tablet Pro,1.0,3,0,0,1,,,695.4385307015609,710
2021-11-02,Tablet Mini,1.0,2,0,1,0,,215.8348818672996,,802
2021-11-02,Tablet Mini,1.0,1,0,1,0,,215.8330289206733,,811
2021-11-02,Tablet Mini,1.0,4,0,1,0,,217.8182053476628,,883
2021-11-02,Tablet Mini,1.0,1,0,1,0,,215.8173818158289,,887
2021-11-02,Tablet Mini,1.0,1,0,1,0,,215.8144994544102,,901
2021-11-02,Tablet Basic,1.0,2,1,0,0,180.8194141747476,,,995
2021-11-02,Tablet Basic,1.0,2,1,0,0,180.8391789387616,,,1019
2021-11-02,Tablet Basic,1.0,3,1,0,0,160.844943661599,,,1026
2021-11-02,Tablet Mini,1.0,3,0,1,0,,215.7867052550154,,1036
2021-11-02,Tablet Mini,0.9,3,0,1,0,,217.7815581810535,,1061
2021-11-02,Tablet Mini,1.0,3,0,1,0,,215.7786758196348,,1075
2021-11-02,Tablet Mini,1.0,4,0,1,0,,217.7770287559669,,1083
2021-11-02,Tablet Mini,0.9,7,0,1,0,,220.771058150171,,1112
2021-11-02,Tablet Mini,0.9,1,0,1,0,,215.7689993205862,,1122
2021-11-02,Tablet Mini,1.0,1,0,1,0,,215.7683816717108,,1125
2021-11-02,Tablet Mini,1.0,3,0,1,0,,215.7681757887523,,1126
2021-11-02,Tablet Mini,1.0,2,0,1,0,,215.7675581398769,,1129
2021-11-02,Tablet Mini,1.0,1,0,1,0,,215.7673522569184,,1130
2021-11-02,Tablet Mini,1.0,3,0,1,0,,215.7556169282851,,1187
2021-11-02,Tablet Mini,1.0,1,0,1,0,,215.7424404189424,,1251
2021-11-02,Tablet Mini,1.0,3,0,1,0,,216.7403815893576,,1261
2021-11-02,Tablet Mini,1.0,2,0,1,0,,215.7374992279389,,1275
2021-11-02,Tablet Basic,1.0,3,1,0,0,161.0565913429157,,,1283
2021-11-02,Tablet Pro,1.0,3,0,0,1,,,695.8622378301113,1396
2021-11-02,Tablet Basic,1.0,4,1,0,0,181.2303565598722,,,1494
2021-11-03,Tablet Mini,1.0,2,0,1,0,,215.6837637757758,,1536
2021-11-03,Tablet Mini,1.0,2,0,1,0,,215.6794402336477,,1557
2021-11-03,Tablet Mini,1.0,1,0,1,0,,215.6779990529384,,1564
2021-11-03,Tablet Mini,1.0,2,0,1,0,,215.6767637551875,,1570
2021-11-03,Tablet Mini,0.9,6,0,1,0,,219.6744990426442,,1581
2021-11-03,Tablet Mini,1.0,2,0,1,0,,215.6724402130594,,1591
2021-11-03,Tablet Mini,1.0,3,0,1,0,,215.666675490222,,1619
2021-11-03,Tablet Pro,1.0,3,0,0,1,,,696.0259147821023,1661
2021-11-03,Tablet Mini,0.9,7,0,1,0,,221.6462930773326,,1718
2021-11-03,Tablet Mini,1.0,3,0,1,0,,215.6409401204121,,1744
2021-11-03,Tablet Mini,1.0,4,0,1,0,,217.6392930567443,,1752
2021-11-03,Tablet Mini,1.0,1,0,1,0,,215.6335283339069,,1780
2021-11-03,Tablet Mini,1.0,2,0,1,0,,215.6333224509484,,1781
2021-11-03,Tablet Basic,1.0,2,1,0,0,161.5045926605666,,,1827
2021-11-03,Tablet Mini,1.0,2,0,1,0,,215.6207635904811,,1842
2021-11-03,Tablet Mini,0.9,3,0,1,0,,217.6205577075227,,1843
2021-11-03,Tablet Mini,1.0,3,0,1,0,,215.6199400586472,,1846
2021-11-03,Tablet Mini,1.0,4,0,1,0,,216.6191165268133,,1850
2021-11-03,Tablet Mini,1.0,1,0,1,0,,215.6129400380589,,1880
2021-11-03,Tablet Basic,1.0,3,1,0,0,161.5778869937853,,,1916
2021-11-03,Tablet Basic,1.0,3,1,0,0,161.7154168100494,,,2083
2021-11-03,Tablet Basic,0.9,3,1,0,0,181.7220050647208,,,2091
2021-11-03,Tablet Pro,1.0,1,0,0,1,,,696.316209753558,2131
2021-11-03,Tablet Pro,1.0,1,0,0,1,,,696.3211509445616,2139
2021-11-03,Tablet Pro,1.0,4,0,0,1,,,656.3242391889388,2144
2021-11-03,Tablet Pro,1.0,3,0,0,1,,,696.3310333265686,2155
2021-11-03,Tablet Pro,1.0,4,0,0,1,,,656.3359745175721,2163
2021-11-04,Tablet Mini,0.9,6,0,1,0,,218.5307927376257,,2279
2021-11-04,Tablet Mini,1.0,3,0,1,0,,215.5285280250824,,2290
2021-11-04,Tablet Mini,1.0,1,0,1,0,,215.5256456636637,,2304
2021-11-04,Tablet Mini,1.0,1,0,1,0,,215.5118515054456,,2371
2021-11-04,Tablet Mini,1.0,1,0,1,0,,215.498263230186,,2437
2021-11-04,Tablet Mini,1.0,1,0,1,0,,215.4910573266392,,2472
2021-11-04,Tablet Mini,1.0,1,0,1,0,,215.4902337948053,,2476
2021-11-04,Tablet Mini,0.9,3,0,1,0,,216.4824102423831,,2514
2021-11-04,Tablet Mini,1.0,4,0,1,0,,217.4815867105492,,2518
2021-11-04,Tablet Mini,1.0,1,0,1,0,,215.4805572957567,,2523
2021-11-04,Tablet Mini,1.0,1,0,1,0,,215.4797337639228,,2527
2021-11-04,Tablet Basic,1.0,4,1,0,0,182.1461239591881,,,2606
2021-11-04,Tablet Basic,0.9,2,1,0,0,182.2185947605728,,,2694
2021-11-04,Tablet Basic,0.9,4,1,0,0,202.2210653560746,,,2697
2021-11-04,Tablet Basic,1.0,3,1,0,0,182.2433007155904,,,2724
2021-11-04,Tablet Basic,1.0,3,1,0,0,162.2655360751061,,,2751
2021-11-04,Tablet Basic,1.0,1,1,0,0,162.2943596892932,,,2786
2021-11-04,Tablet Basic,1.0,2,1,0,0,182.3124773896394,,,2808
2021-11-04,Tablet Pro,1.0,2,0,0,1,,,696.778828761261,2880
2021-11-04,Tablet Pro,1.0,2,0,0,1,,,696.7979758763996,2911
2021-11-04,Tablet Pro,1.0,3,0,0,1,,,696.8029170674031,2919
2021-11-04,Tablet Basic,1.0,3,1,0,0,162.4376542283948,,,2960
2021-11-05,Tablet Pro,1.0,3,0,0,1,,,696.8720937414522,3031
2021-11-05,Tablet Pro,1.0,3,0,0,1,,,696.8881526122136,3057
2021-11-05,Tablet Mini,1.0,3,0,1,0,,216.3699981470534,,3060
2021-11-05,Tablet Mini,1.0,2,0,1,0,,215.3654687219668,,3082
2021-11-05,Tablet Pro,1.0,3,0,0,1,,,696.9042114829749,3083
2021-11-05,Tablet Pro,1.0,3,0,0,1,,,696.9258291936153,3118
2021-11-05,Tablet Basic,1.0,3,1,0,0,162.6328312730332,,,3197
2021-11-05,Tablet Basic,0.9,3,1,0,0,162.6814196512343,,,3256
2021-11-05,Tablet Basic,1.0,2,1,0,0,162.6880079059056,,,3264
2021-11-05,Tablet Mini,1.0,2,0,1,0,,215.3251156621049,,3278
2021-11-05,Tablet Basic,0.9,3,1,0,0,182.7077726699196,,,3288
2021-11-05,Tablet Basic,1.0,2,1,0,0,162.7464786661137,,,3335
