date,product,discount,amount,Tablet Basic,Tablet Mini,Tablet Pro,kosten_basic,kosten_mini,kosten_pro,transaction_id
2021-11-01,Tablet Basic,0.9,3,1,0,0,260.0724708013847,,,88
2021-11-01,Tablet Basic,0.9,2,1,0,0,260.1128238612466,,,137
2021-11-01,Tablet Basic,0.9,5,1,0,0,300.1218827114197,,,148
2021-11-01,Tablet Basic,1.0,2,1,0,0,260.1268239024232,,,154
2021-11-01,Tablet Basic,1.0,4,1,0,0,300.2042358948115,,,248
2021-11-01,Tablet Basic,0.9,5,1,0,0,300.2865890782032,,,348
2021-11-01,Tablet Basic,0.9,1,1,0,0,260.2874126100371,,,349
2021-11-01,Tablet Mini,1.0,1,0,1,0,,315.9108526789785,,433
2021-11-01,Tablet Mini,1.0,1,0,1,0,,315.8982938185112,,494
2021-11-01,Tablet Mini,1.0,1,0,1,0,,315.8974702866773,,498
2021-11-01,Tablet Mini,1.0,2,0,1,0,,315.8879996705872,,544
2021-11-01,Tablet Mini,1.0,2,0,1,0,,315.8873820217118,,547
2021-11-01,Tablet Mini,0.9,3,0,1,0,,317.8871761387534,,548
2021-11-01,Tablet Mini,1.0,1,0,1,0,,315.886146723961,,553
2021-11-01,Tablet Mini,1.0,2,0,1,0,,315.8768819908294,,598
2021-11-01,Tablet Mini,1.0,2,0,1,0,,316.8649407792376,,656
2021-11-01,Tablet Mini,1.0,2,0,1,0,,315.8643231303622,,659
2021-11-01,Tablet Pro,1.0,3,0,0,1,,,775.4465601369416,723
2021-11-01,Tablet Pro,1.0,2,0,0,1,,,735.4496483813188,728
2021-11-01,Tablet Pro,1.0,3,0,0,1,,,775.457060167824,740
2021-11-01,Tablet Pro,1.0,3,0,0,1,,,775.4613837099521,747
2021-11-01,Tablet Basic,1.0,3,1,0,0,260.6291783211127,,,764
2021-11-01,Tablet Pro,1.0,2,0,0,1,,,775.4755896340871,770
2021-11-01,Tablet Pro,1.0,2,0,0,1,,,775.4774425807135,773
2021-11-01,Tablet Pro,1.0,3,0,0,1,,,775.4830014205925,782
2021-11-02,Tablet Basic,1.0,3,1,0,0,300.6522372124624,,,792
2021-11-02,Tablet Mini,1.0,2,0,1,0,,316.8313818570055,,819
2021-11-02,Tablet Basic,1.0,3,1,0,0,260.6752961038121,,,820
2021-11-02,Tablet Mini,0.9,4,0,1,0,,316.8252053682511,,849
2021-11-02,Tablet Mini,1.0,2,0,1,0,,316.8149112203271,,899
2021-11-02,Tablet Basic,1.0,1,1,0,0,260.7609434145394,,,924
2021-11-02,Tablet Basic,1.0,4,1,0,0,280.7881199650587,,,957
2021-11-02,Tablet Basic,1.0,2,1,0,0,260.8268259612528,,,1004
2021-11-02,Tablet Mini,1.0,1,0,1,0,,315.7871170209324,,1034
2021-11-02,Tablet Mini,1.0,2,0,1,0,,315.78608760614,,1039
2021-11-02,Tablet Mini,1.0,4,0,1,0,,317.7776464048424,,1080
2021-11-02,Tablet Mini,1.0,2,0,1,0,,315.7768228730084,,1084
2021-11-02,Tablet Mini,1.0,1,0,1,0,,315.7749699263821,,1093
2021-11-02,Tablet Mini,1.0,3,0,1,0,,317.7593228215377,,1169
2021-11-02,Tablet Mini,1.0,3,0,1,0,,315.7558228112435,,1186
2021-11-02,Tablet Mini,1.0,3,0,1,0,,315.7531463327833,,1199
2021-11-02,Tablet Mini,1.0,3,0,1,0,,315.7521169179909,,1204
2021-11-02,Tablet Mini,1.0,3,0,1,0,,315.746558078112,,1231
2021-11-02,Tablet Basic,1.0,1,1,0,0,261.0508266200783,,,1276
2021-11-02,Tablet Basic,1.0,3,1,0,0,281.0590619384175,,,1286
2021-11-02,Tablet Basic,1.0,4,1,0,0,301.0598854702514,,,1287
2021-11-02,Tablet Pro,1.0,4,0,0,1,,,735.7998552936921,1295
2021-11-02,Tablet Basic,1.0,6,1,0,0,321.093650275442,,,1328
2021-11-02,Tablet Pro,1.0,2,0,0,1,,,735.8338259818411,1350
2021-11-02,Tablet Pro,1.0,1,0,0,1,,,775.859149585734,1391
2021-11-02,Tablet Basic,0.9,4,1,0,0,301.203180009353,,,1461
2021-11-02,Tablet Basic,1.0,3,1,0,0,261.2188271141974,,,1480
2021-11-03,Tablet Mini,1.0,2,0,1,0,,315.6765578722291,,1571
2021-11-03,Tablet Mini,0.9,5,0,1,0,,317.6751166915197,,1578
2021-11-03,Tablet Mini,1.0,4,0,1,0,,317.6738813937688,,1584
2021-11-03,Tablet Mini,1.0,2,0,1,0,,315.672234330101,,1592
2021-11-03,Tablet Mini,1.0,3,0,1,0,,315.6697637345992,,1604
2021-11-03,Tablet Pro,1.0,1,0,0,1,,,776.0215912399742,1654
2021-11-03,Tablet Mini,1.0,1,0,1,0,,315.6551460445472,,1675
2021-11-03,Tablet Mini,1.0,2,0,1,0,,315.6471166091665,,1714
2021-11-03,Tablet Mini,1.0,3,0,1,0,,315.6448518966232,,1725
2021-11-03,Tablet Mini,1.0,4,0,1,0,,316.637028344201,,1763
2021-11-03,Tablet Mini,1.0,2,0,1,0,,315.6355871634917,,1770
2021-11-03,Tablet Mini,1.0,2,0,1,0,,315.6329106850314,,1783
2021-11-03,Tablet Mini,1.0,2,0,1,0,,315.6316753872806,,1789
2021-11-03,Tablet Mini,1.0,1,0,1,0,,315.6201459416057,,1845
2021-11-03,Tablet Mini,0.9,6,0,1,0,,318.6166459313116,,1862
2021-11-03,Tablet Basic,1.0,5,1,0,0,301.5655340162765,,,1901
2021-11-03,Tablet Basic,1.0,3,1,0,0,261.6338871584916,,,1984
2021-11-03,Tablet Basic,1.0,2,1,0,0,261.6437695404986,,,1996
2021-11-03,Tablet Basic,1.0,3,1,0,0,261.6544754543396,,,2009
2021-11-03,Tablet Basic,1.0,3,1,0,0,261.6791814093571,,,2039
2021-11-03,Tablet Basic,1.0,1,1,0,0,261.6890637913641,,,2051
2021-11-03,Tablet Basic,1.0,3,1,0,0,281.7022403007068,,,2067
2021-11-03,Tablet Basic,1.0,3,1,0,0,261.7351815740635,,,2107
2021-11-03,Tablet Basic,1.0,3,1,0,0,281.7376521695652,,,2110
2021-11-03,Tablet Pro,1.0,3,0,0,1,,,776.3174450513089,2133
2021-11-03,Tablet Pro,1.0,1,0,0,1,,,776.3205332956861,2138
2021-11-03,Tablet Pro,1.0,3,0,0,1,,,776.3372098153229,2165
2021-11-04,Tablet Mini,1.0,1,0,1,0,,315.5244103659128,,2310
2021-11-04,Tablet Mini,0.9,6,0,1,0,,319.5211162385772,,2326
2021-11-04,Tablet Mini,1.0,3,0,1,0,,315.5102044417778,,2379
2021-11-04,Tablet Mini,1.0,2,0,1,0,,315.4885867311374,,2484
2021-11-04,Tablet Mini,1.0,3,0,1,0,,315.4782925832135,,2534
2021-11-04,Tablet Basic,0.9,5,1,0,0,322.107417962994,,,2559
2021-11-04,Tablet Basic,1.0,3,1,0,0,262.1230650678384,,,2578
2021-11-04,Tablet Basic,1.0,4,1,0,0,282.1354180453472,,,2593
2021-11-04,Tablet Basic,1.0,2,1,0,0,262.197182932891,,,2668
2021-11-04,Tablet Basic,1.0,3,1,0,0,262.2136535695693,,,2688
2021-11-04,Tablet Basic,1.0,2,1,0,0,262.2342418654173,,,2713
2021-11-04,Tablet Basic,1.0,2,1,0,0,282.2375359927529,,,2717
2021-11-04,Tablet Basic,1.0,3,1,0,0,262.2811831799505,,,2770
2021-11-04,Tablet Basic,0.9,4,1,0,0,282.3050656031342,,,2799
2021-11-04,Tablet Pro,1.0,3,0,0,1,,,776.7664757837523,2860
2021-11-04,Tablet Pro,1.0,3,0,0,1,,,736.7745052191331,2873
2021-11-04,Tablet Pro,1.0,5,0,0,1,,,696.7757405168838,2875
2021-11-04,Tablet Pro,1.0,1,0,0,1,,,776.7769758146347,2877
2021-11-04,Tablet Pro,1.0,2,0,0,1,,,736.7911817387699,2900
2021-11-04,Tablet Pro,1.0,2,0,0,1,,,736.8022994185277,2918
2021-11-04,Tablet Pro,1.0,1,0,0,1,,,776.8053876629049,2923
2021-11-04,Tablet Basic,1.0,3,1,0,0,262.435183632893,,,2957
2021-11-04,Tablet Basic,1.0,2,1,0,0,262.4417718875644,,,2965
2021-11-04,Tablet Basic,1.0,1,1,0,0,262.4582425242427,,,2985
2021-11-05,Tablet Pro,1.0,4,0,0,1,,,736.8739466880785,3034
2021-11-05,Tablet Mini,1.0,4,0,1,0,,316.3656746049253,,3081
2021-11-05,Tablet Pro,1.0,2,0,0,1,,,776.9190350559854,3107
2021-11-05,Tablet Pro,1.0,3,0,0,1,,,736.9313880334942,3127
2021-11-05,Tablet Basic,1.0,1,1,0,0,262.5793017038285,,,3132
2021-11-05,Tablet Basic,0.9,5,1,0,0,322.6105959135174,,,3170
2021-11-05,Tablet Basic,0.9,2,1,0,0,282.6534195688811,,,3222
2021-11-05,Tablet Basic,1.0,7,1,0,0,342.6567136962167,,,3226
2021-11-05,Tablet Basic,1.0,3,1,0,0,262.6633019508881,,,3234
2021-11-05,Tablet Basic,1.0,2,1,0,0,262.7308315612693,,,3316
2021-11-05,Tablet Basic,1.0,1,1,0,0,262.753890452619,,,3344
2021-11-05,Tablet Basic,1.0,2,1,0,0,262.7645963664599,,,3357
2021-11-05,Tablet Basic,1.0,2,1,0,0,262.7975376398166,,,3397
2021-11-05,Tablet Basic,0.9,4,1,0,0,322.8140082764949,,,3417
2021-11-05,Tablet Mini,1.0,4,0,1,0,,316.2849684852014,,3473
2021-11-05,Tablet Mini,1.0,3,0,1,0,,316.2789978794056,,3502
2021-11-05,Tablet Mini,1.0,2,0,1,0,,315.2761155179868,,3516
2021-11-05,Tablet Mini,1.0,4,0,1,0,,316.2738508054435,,3527
2021-11-05,Tablet Mini,1.0,6,0,1,0,,318.2691154973985,,3550
2021-11-05,Tablet Mini,1.0,1,0,1,0,,315.2557331050974,,3615
2021-11-05,Tablet Mini,1.0,4,0,1,0,,318.2530566266371,,3628
2021-11-05,Tablet Mini,1.0,3,0,1,0,,315.2415271809623,,3684
2021-11-05,Tablet Mini,1.0,3,0,1,0,,315.2260859590764,,3759
2021-11-05,Tablet Mini,0.9,5,0,1,0,,317.2176447577787,,3800
2021-11-05,Tablet Mini,1.0,1,0,1,0,,315.2164094600278,,3806
2021-11-06,Tablet Mini,0.9,2,0,1,0,,316.2081741416887,,3846
2021-11-06,Tablet Mini,1.0,3,0,1,0,,317.2075564928132,,3849
2021-11-06,Tablet Mini,1.0,1,0,1,0,,315.2030270677267,,3871
2021-11-06,Tablet Basic,1.0,1,1,0,0,263.2521272121389,,,3949
2021-11-06,Tablet Basic,1.0,4,1,0,0,323.2661272533155,,,3966
2021-11-06,Tablet Basic,0.9,5,1,0,0,343.2941273356686,,,4000
2021-11-06,Tablet Basic,0.9,5,1,0,0,343.3114215041809,,,4021
2021-11-06,Tablet Basic,0.9,3,1,0,0,303.3418921820358,,,4058
2021-11-06,Tablet Basic,1.0,1,1,0,0,263.4242453654275,,,4158
2021-11-06,Tablet Pro,1.0,1,0,0,1,,,777.6182135829811,4239
2021-11-06,Tablet Basic,1.0,1,1,0,0,263.5461280768473,,,4306
2021-11-06,Tablet Mini,1.0,1,0,1,0,,315.0885561428122,,4427
2021-11-06,Tablet Mini,1.0,1,0,1,0,,315.0875267280198,,4432
2021-11-06,Tablet Mini,1.0,1,0,1,0,,315.0869090791443,,4435
2021-11-06,Tablet Mini,1.0,1,0,1,0,,315.080320824473,,4467
2021-11-06,Tablet Mini,1.0,1,0,1,0,,315.0753796334695,,4491
2021-11-06,Tablet Mini,1.0,1,0,1,0,,315.0747619845941,,4494
2021-11-07,Tablet Mini,1.0,2,0,1,0,,316.0381148179848,,4672
2021-11-07,Tablet Mini,1.0,2,0,1,0,,316.0296736166871,,4713
2021-11-07,Tablet Mini,1.0,1,0,1,0,,315.0263794893514,,4729
2021-11-07,Tablet Mini,1.0,1,0,1,0,,315.0195853517216,,4762
2021-11-07,Tablet Mini,1.0,1,0,1,0,,315.0088794378807,,4814
2021-11-07,Tablet Mini,1.0,1,0,1,0,,315.0086735549222,,4815
