date,product,discount,amount,Tablet Basic,Tablet Mini,Tablet Pro,kosten_basic,kosten_mini,kosten_pro,transaction_id
2021-11-01,Tablet Basic,1.0,2,1,0,0,170.0024705955018,,,3
2021-11-01,Tablet Basic,1.0,3,1,0,0,150.0074117865053,,,9
2021-11-01,Tablet Basic,1.0,5,1,0,0,190.0107059138409,,,13
2021-11-01,Tablet Basic,1.0,5,1,0,0,230.0362354006924,,,44
2021-11-01,Tablet Basic,1.0,1,1,0,0,150.040353059862,,,49
2021-11-01,Tablet Basic,1.0,3,1,0,0,150.0411765916959,,,50
2021-11-01,Tablet Basic,1.0,5,1,0,0,190.0527060373707,,,64
2021-11-01,Tablet Basic,1.0,1,1,0,0,150.0568236965403,,,69
2021-11-01,Tablet Basic,0.9,6,1,0,0,230.0584707602081,,,71
2021-11-01,Tablet Basic,1.0,1,1,0,0,150.0650590148795,,,79
2021-11-01,Tablet Basic,1.0,2,1,0,0,170.0691766740491,,,84
2021-11-01,Tablet Basic,1.0,3,1,0,0,150.0716472695508,,,87
2021-11-01,Tablet Basic,1.0,3,1,0,0,150.0774119923882,,,94
2021-11-01,Tablet Basic,0.9,3,1,0,0,190.0790590560561,,,96
2021-11-01,Tablet Basic,1.0,2,1,0,0,150.0905885017309,,,110
2021-11-01,Tablet Basic,1.0,5,1,0,0,190.0955296927344,,,116
2021-11-01,Tablet Basic,1.0,3,1,0,0,150.1004708837379,,,122
2021-11-01,Tablet Basic,1.0,3,1,0,0,170.1037650110736,,,126
2021-11-01,Tablet Basic,0.9,5,1,0,0,190.1062356065753,,,129
2021-11-01,Tablet Basic,1.0,4,1,0,0,190.1120003294128,,,136
2021-11-01,Tablet Basic,1.0,3,1,0,0,170.1177650522501,,,143
2021-11-01,Tablet Basic,1.0,1,1,0,0,150.119412115918,,,145
2021-11-01,Tablet Basic,1.0,3,1,0,0,150.1210591795858,,,147
2021-11-01,Tablet Basic,1.0,3,1,0,0,170.1276474342571,,,155
2021-11-01,Tablet Basic,1.0,3,1,0,0,150.1334121570946,,,162
2021-11-01,Tablet Basic,1.0,4,1,0,0,170.1350592207624,,,164
2021-11-01,Tablet Basic,0.9,3,1,0,0,170.1449416027694,,,176
2021-11-01,Tablet Basic,1.0,5,1,0,0,190.1465886664373,,,178
2021-11-01,Tablet Basic,1.0,3,1,0,0,150.1540004529425,,,187
2021-11-01,Tablet Basic,1.0,1,1,0,0,150.1556475166103,,,189
2021-11-01,Tablet Basic,1.0,5,1,0,0,190.1581181121121,,,192
2021-11-01,Tablet Basic,1.0,2,1,0,0,150.168824025953,,,205
2021-11-01,Tablet Basic,0.9,2,1,0,0,150.1696475577869,,,206
2021-11-01,Tablet Basic,1.0,1,1,0,0,150.1721181532887,,,209
2021-11-01,Tablet Basic,1.0,2,1,0,0,150.1737652169565,,,211
2021-11-01,Tablet Basic,0.9,4,1,0,0,190.1754122806244,,,213
2021-11-01,Tablet Basic,0.9,1,1,0,0,150.1762358124583,,,214
2021-11-01,Tablet Basic,1.0,3,1,0,0,170.1803534716279,,,219
2021-11-01,Tablet Basic,1.0,3,1,0,0,150.1902358536349,,,231
2021-11-01,Tablet Basic,0.9,3,1,0,0,170.1910593854688,,,232
2021-11-01,Tablet Basic,1.0,1,1,0,0,150.1943535128044,,,236
2021-11-01,Tablet Basic,0.9,4,1,0,0,170.2050594266454,,,249
2021-11-01,Tablet Basic,1.0,3,1,0,0,150.2083535539811,,,253
2021-11-01,Tablet Basic,1.0,3,1,0,0,150.2141182768185,,,260
2021-11-01,Tablet Basic,1.0,5,1,0,0,190.2149418086524,,,261
2021-11-01,Tablet Basic,1.0,3,1,0,0,150.2198829996559,,,267
2021-11-01,Tablet Basic,1.0,3,1,0,0,150.2215300633237,,,269
2021-11-01,Tablet Basic,0.9,3,1,0,0,150.2223535951576,,,270
2021-11-01,Tablet Basic,0.9,4,1,0,0,190.228118317995,,,277
2021-11-01,Tablet Basic,1.0,4,1,0,0,170.2363536363342,,,287
2021-11-01,Tablet Basic,1.0,3,1,0,0,150.248706613843,,,302
2021-11-01,Tablet Basic,1.0,3,1,0,0,150.2511772093447,,,305
2021-11-01,Tablet Basic,1.0,1,1,0,0,150.2577654640161,,,313
2021-11-01,Tablet Basic,1.0,2,1,0,0,150.2627066550196,,,319
2021-11-01,Tablet Basic,1.0,2,1,0,0,150.2676478460231,,,325
2021-11-01,Tablet Basic,1.0,5,1,0,0,190.268471377857,,,326
2021-11-01,Tablet Basic,1.0,2,1,0,0,150.2758831643623,,,335
2021-11-01,Tablet Basic,0.9,8,1,0,0,250.2800008235319,,,340
2021-11-01,Tablet Basic,1.0,4,1,0,0,170.2808243553658,,,341
2021-11-01,Tablet Mini,0.9,7,0,1,0,,210.9164115188574,,406
2021-11-01,Tablet Mini,1.0,3,0,1,0,,206.9112644448954,,431
2021-11-01,Tablet Mini,1.0,2,0,1,0,,205.9100291471445,,437
2021-11-01,Tablet Mini,1.0,1,0,1,0,,205.9083820834767,,445
2021-11-01,Tablet Mini,1.0,4,0,1,0,,206.9071467857258,,451
2021-11-01,Tablet Mini,1.0,2,0,1,0,,206.9036467754317,,468
2021-11-01,Tablet Mini,1.0,3,0,1,0,,205.8995291162621,,488
2021-11-01,Tablet Mini,1.0,1,0,1,0,,205.8993232333036,,489
2021-11-01,Tablet Mini,1.0,3,0,1,0,,205.8958232230095,,506
2021-11-01,Tablet Basic,0.9,5,1,0,0,190.4323542128065,,,525
2021-11-01,Tablet Mini,1.0,3,0,1,0,,205.8900585001721,,534
2021-11-01,Tablet Mini,1.0,2,0,1,0,,205.8886173194627,,541
2021-11-01,Tablet Mini,1.0,2,0,1,0,,206.8882055535457,,543
2021-11-01,Tablet Mini,1.0,4,0,1,0,,206.8877937876288,,545
2021-11-01,Tablet Mini,1.0,3,0,1,0,,205.8836761284592,,565
2021-11-01,Tablet Basic,0.9,2,1,0,0,170.4710602090006,,,572
2021-11-01,Tablet Basic,1.0,3,1,0,0,150.4718837408345,,,573
2021-11-01,Tablet Basic,1.0,3,1,0,0,150.4727072726685,,,574
2021-11-01,Tablet Basic,1.0,2,1,0,0,170.4735308045024,,,575
2021-11-01,Tablet Basic,1.0,1,1,0,0,150.4743543363363,,,576
2021-11-01,Tablet Basic,1.0,3,1,0,0,190.4784719955059,,,581
2021-11-01,Tablet Basic,1.0,3,1,0,0,150.4817661228415,,,585
2021-11-01,Tablet Basic,1.0,2,1,0,0,150.4858837820111,,,590
2021-11-01,Tablet Basic,0.9,4,1,0,0,170.4990602913538,,,606
2021-11-01,Tablet Basic,1.0,1,1,0,0,150.4998838231877,,,607
2021-11-01,Tablet Basic,1.0,1,1,0,0,150.5023544186895,,,610
2021-11-01,Tablet Basic,1.0,1,1,0,0,150.5040014823573,,,612
2021-11-01,Tablet Mini,1.0,3,0,1,0,,205.8665878429054,,648
2021-11-01,Tablet Mini,1.0,3,0,1,0,,205.8663819599469,,649
2021-11-01,Tablet Pro,1.0,1,0,0,1,,,685.4348248083082,704
2021-11-01,Tablet Basic,1.0,1,1,0,0,150.6192959391057,,,752
2021-11-01,Tablet Basic,1.0,5,1,0,0,210.6308253847805,,,766
2021-11-01,Tablet Pro,1.0,2,0,0,1,,,685.486707313845,788
2021-11-02,Tablet Basic,1.0,2,1,0,0,150.6530607442963,,,793
2021-11-02,Tablet Basic,1.0,2,1,0,0,150.6547078079641,,,795
2021-11-02,Tablet Basic,0.9,5,1,0,0,190.6571784034659,,,798
2021-11-02,Tablet Basic,1.0,4,1,0,0,190.6588254671337,,,800
2021-11-02,Tablet Basic,1.0,4,1,0,0,170.6629431263033,,,805
2021-11-02,Tablet Basic,1.0,3,1,0,0,150.6645901899711,,,807
2021-11-02,Tablet Basic,1.0,1,1,0,0,150.666237253639,,,809
2021-11-02,Tablet Basic,1.0,2,1,0,0,150.6695313809747,,,813
2021-11-02,Tablet Basic,0.9,3,1,0,0,170.6802372948156,,,826
2021-11-02,Tablet Basic,1.0,1,1,0,0,150.6827078903173,,,829
2021-11-02,Tablet Basic,1.0,2,1,0,0,150.6835314221512,,,830
2021-11-02,Tablet Basic,1.0,2,1,0,0,150.6868255494869,,,834
2021-11-02,Tablet Basic,1.0,3,1,0,0,170.6876490813208,,,835
2021-11-02,Tablet Basic,0.9,2,1,0,0,150.69588439966,,,845
2021-11-02,Tablet Mini,1.0,2,0,1,0,,205.8159406351195,,894
2021-11-02,Tablet Mini,1.0,2,0,1,0,,205.8142935714517,,902
2021-11-02,Tablet Basic,0.9,6,1,0,0,210.7485904370307,,,909
2021-11-02,Tablet Basic,1.0,1,1,0,0,150.7510610325324,,,912
2021-11-02,Tablet Basic,1.0,1,1,0,0,150.7518845643664,,,913
2021-11-02,Tablet Basic,1.0,4,1,0,0,170.7691787328786,,,934
2021-11-02,Tablet Basic,0.9,1,1,0,0,150.7774140512178,,,944
2021-11-02,Tablet Basic,1.0,4,1,0,0,170.7782375830517,,,945
2021-11-02,Tablet Basic,1.0,3,1,0,0,150.7790611148856,,,946
2021-11-02,Tablet Basic,1.0,3,1,0,0,170.7807081785535,,,948
2021-11-02,Tablet Basic,1.0,2,1,0,0,150.7864729013909,,,955
2021-11-02,Tablet Basic,1.0,1,1,0,0,150.7872964332248,,,956
2021-11-02,Tablet Basic,0.9,2,1,0,0,170.7889434968926,,,958
2021-11-02,Tablet Basic,1.0,3,1,0,0,150.7971788152318,,,968
2021-11-02,Tablet Basic,0.9,6,1,0,0,230.8045906017371,,,977
2021-11-02,Tablet Basic,0.9,3,1,0,0,190.8087082609067,,,982
2021-11-02,Tablet Basic,1.0,3,1,0,0,170.8103553245745,,,984
2021-11-02,Tablet Basic,1.0,3,1,0,0,150.8161200474119,,,991
2021-11-02,Tablet Basic,1.0,5,1,0,0,190.8185906429136,,,994
2021-11-02,Tablet Basic,1.0,1,1,0,0,150.8210612384154,,,997
2021-11-02,Tablet Basic,1.0,1,1,0,0,150.8235318339172,,,1000
2021-11-02,Tablet Basic,1.0,1,1,0,0,150.8284730249207,,,1006
2021-11-02,Tablet Basic,0.9,8,1,0,0,250.8292965567546,,,1007
2021-11-02,Tablet Basic,1.0,3,1,0,0,170.8317671522563,,,1010
2021-11-02,Tablet Basic,1.0,3,1,0,0,150.8342377477581,,,1013
2021-11-02,Tablet Mini,1.0,1,0,1,0,,205.7819699469704,,1059
2021-11-02,Tablet Mini,1.0,2,0,1,0,,205.7780581707593,,1078
