date,PRODUKT,discount,amount,Tablet Basic,Tablet Mini,Tablet Pro,kosten_basic,kosten_mini,kosten_pro,transaction_id
2021-11-01,Tablet Basic...,0.9,7,1,0,0,240.0337648051906,,,41
2021-11-01,Tablet Basic...,1.0,1,1,0,0,160.0354118688584,,,43
2021-11-01,Tablet Basic...,0.9,6,1,0,0,220.0452942508655,,,55
2021-11-01,Tablet Basic...,1.0,3,1,0,0,160.0634119512116,,,77
2021-11-01,Tablet Basic...,1.0,2,1,0,0,160.070000205883,,,85
2021-11-01,Tablet Basic...,1.0,1,1,0,0,160.0757649287204,,,92
2021-11-01,Tablet Basic...,0.9,3,1,0,0,160.0881179062291,,,107
2021-11-01,Tablet Basic...,1.0,1,1,0,0,160.0947061609005,,,115
2021-11-01,Tablet Basic...,0.9,5,1,0,0,240.0980002882361,,,119
2021-11-01,Tablet Basic...,0.9,4,1,0,0,200.1070591384092,,,130
2021-11-01,Tablet Basic...,1.0,2,1,0,0,160.1161179885823,,,141
2021-11-01,Tablet Basic...,1.0,2,1,0,0,180.1507063256068,,,183
2021-11-01,Tablet Basic...,0.9,4,1,0,0,220.1869417262992,,,227
2021-11-01,Tablet Basic...,1.0,2,1,0,0,180.2660007823552,,,323
2021-11-01,Tablet Basic...,0.9,2,1,0,0,160.2717655051927,,,330
2021-11-01,Tablet Basic...,0.9,7,1,0,0,260.288236141871,,,350
2021-11-01,Tablet Basic...,0.9,6,1,0,0,220.2890596737049,,,351
2021-11-01,Tablet Mini,1.0,3,0,1,0,,215.9271174326983,,354
2021-11-01,Tablet Mini,1.0,3,0,1,0,,215.9258821349474,,360
2021-11-01,Tablet Mini,1.0,3,0,1,0,,215.9248527201551,,365
2021-11-01,Tablet Mini,1.0,1,0,1,0,,215.9246468371966,,366
2021-11-01,Tablet Mini,1.0,2,0,1,0,,215.9244409542381,,367
2021-11-01,Tablet Mini,1.0,2,0,1,0,,215.9217644757779,,380
2021-11-01,Tablet Mini,1.0,2,0,1,0,,216.9213527098609,,382
2021-11-01,Tablet Mini,1.0,2,0,1,0,,215.9199115291516,,389
2021-11-01,Tablet Mini,0.9,5,0,1,0,,219.9190879973176,,393
2021-11-01,Tablet Mini,1.0,3,0,1,0,,215.9170291677328,,403
2021-11-01,Tablet Mini,1.0,3,0,1,0,,215.9147644551896,,414
2021-11-01,Tablet Mini,1.0,3,0,1,0,,215.9127056256048,,424
2021-11-01,Tablet Mini,0.9,2,0,1,0,,216.910235030103,,436
2021-11-01,Tablet Mini,1.0,1,0,1,0,,215.9094114982691,,440
2021-11-01,Tablet Mini,1.0,2,0,1,0,,215.9079703175598,,447
2021-11-01,Tablet Mini,1.0,4,0,1,0,,216.9075585516428,,449
2021-11-01,Tablet Mini,1.0,2,0,1,0,,216.9057056050165,,458
2021-11-01,Tablet Mini,1.0,2,0,1,0,,215.905087956141,,461
2021-11-01,Tablet Mini,0.9,8,0,1,0,,222.9015879458469,,478
2021-11-01,Tablet Mini,1.0,3,0,1,0,,215.8999408821791,,486
2021-11-01,Tablet Mini,1.0,1,0,1,0,,215.8997349992206,,487
2021-11-01,Tablet Mini,1.0,3,0,1,0,,217.8980879355528,,495
2021-11-01,Tablet Mini,0.9,4,0,1,0,,217.8972644037189,,499
2021-11-01,Tablet Mini,1.0,2,0,1,0,,215.8941761593416,,514
2021-11-01,Tablet Mini,1.0,3,0,1,0,,215.8931467445493,,519
2021-11-01,Tablet Mini,1.0,2,0,1,0,,215.8929408615908,,520
2021-11-01,Tablet Mini,1.0,3,0,1,0,,215.8892349683381,,538
2021-11-01,Tablet Mini,1.0,3,0,1,0,,215.8865584898779,,551
2021-11-01,Tablet Basic...,0.9,7,1,0,0,260.4850602501772,,,589
2021-11-01,Tablet Basic...,1.0,6,1,0,0,220.487530845679,,,592
2021-11-01,Tablet Mini,1.0,3,0,1,0,,215.8770878737879,,597
2021-11-01,Tablet Mini,1.0,1,0,1,0,,215.8709113850335,,627
2021-11-01,Tablet Mini,1.0,3,0,1,0,,215.8692643213656,,635
2021-11-01,Tablet Mini,1.0,3,0,1,0,,215.8688525554487,,637
2021-11-01,Tablet Mini,1.0,1,0,1,0,,215.8680290236148,,641
2021-11-01,Tablet Mini,1.0,3,0,1,0,,215.8672054917809,,645
2021-11-01,Tablet Mini,1.0,2,0,1,0,,215.8669996088224,,646
2021-11-01,Tablet Mini,1.0,2,0,1,0,,215.8653525451545,,654
2021-11-01,Tablet Mini,1.0,1,0,1,0,,215.8651466621961,,655
2021-11-01,Tablet Mini,1.0,2,0,1,0,,215.8602054711926,,679
2021-11-01,Tablet Mini,1.0,2,0,1,0,,215.856087812023,,699
2021-11-01,Tablet Pro,1.0,2,0,0,1,,,695.4508836790696,730
2021-11-01,Tablet Pro,1.0,1,0,0,1,,,695.4527366256959,733
2021-11-01,Tablet Pro,1.0,3,0,0,1,,,615.4558248700731,738
2021-11-01,Tablet Pro,1.0,3,0,0,1,,,695.4582954655749,742
2021-11-01,Tablet Pro,1.0,2,0,0,1,,,655.4607660610767,746
2021-11-01,Tablet Basic...,0.9,6,1,0,0,220.6209430027735,,,754
2021-11-01,Tablet Pro,1.0,2,0,0,1,,,695.4762072829626,771
2021-11-02,Tablet Basic...,1.0,1,1,0,0,160.6728255083103,,,817
2021-11-02,Tablet Basic...,1.0,4,1,0,0,180.686002017653,,,833
2021-11-02,Tablet Basic...,1.0,4,1,0,0,180.6934138041582,,,842
2021-11-02,Tablet Mini,1.0,1,0,1,0,,215.8239700705002,,855
2021-11-02,Tablet Mini,1.0,3,0,1,0,,215.8233524216248,,858
2021-11-02,Tablet Mini,1.0,1,0,1,0,,215.8221171238739,,864
2021-11-02,Tablet Mini,1.0,2,0,1,0,,215.8214994749985,,867
2021-11-02,Tablet Mini,1.0,3,0,1,0,,215.8198524113306,,875
2021-11-02,Tablet Mini,1.0,2,0,1,0,,215.8192347624552,,878
2021-11-02,Tablet Mini,1.0,2,0,1,0,,215.816558283995,,891
2021-11-02,Tablet Mini,1.0,3,0,1,0,,215.8153229862441,,897
2021-11-02,Tablet Basic...,1.0,1,1,0,0,160.7560022235359,,,918
2021-11-02,Tablet Basic...,0.9,1,1,0,0,160.7584728190377,,,921
2021-11-02,Tablet Basic...,1.0,3,1,0,0,160.7667081373769,,,931
2021-11-02,Tablet Basic...,1.0,1,1,0,0,160.7724728602143,,,938
2021-11-02,Tablet Basic...,1.0,3,1,0,0,180.7732963920482,,,939
2021-11-02,Tablet Basic...,1.0,1,1,0,0,160.77576698755,,,942
2021-11-02,Tablet Basic...,1.0,3,1,0,0,160.7823552422213,,,950
2021-11-02,Tablet Basic...,0.9,3,1,0,0,160.7897670287265,,,959
2021-11-02,Tablet Basic...,0.9,3,1,0,0,200.7980023470657,,,969
2021-11-02,Tablet Basic...,1.0,2,1,0,0,160.7996494107336,,,971
2021-11-02,Tablet Basic...,0.9,3,1,0,0,180.8021200062353,,,974
2021-11-02,Tablet Basic...,0.9,3,1,0,0,200.8029435380692,,,975
2021-11-02,Tablet Basic...,0.9,6,1,0,0,220.8309436204224,,,1009
2021-11-02,Tablet Basic...,0.9,3,1,0,0,160.8441201297651,,,1025
2021-11-02,Tablet Mini,1.0,3,0,1,0,,216.7869111379739,,1035
2021-11-02,Tablet Mini,0.9,6,0,1,0,,219.7854699572646,,1042
2021-11-02,Tablet Mini,1.0,1,0,1,0,,215.7846464254307,,1046
2021-11-02,Tablet Mini,1.0,3,0,1,0,,215.7842346595137,,1048
2021-11-02,Tablet Mini,1.0,3,0,1,0,,217.7834111276798,,1052
2021-11-02,Tablet Mini,1.0,4,0,1,0,,217.781764064012,,1060
2021-11-02,Tablet Mini,1.0,2,0,1,0,,215.781352298095,,1062
2021-11-02,Tablet Mini,1.0,3,0,1,0,,215.7805287662611,,1066
2021-11-02,Tablet Mini,1.0,4,0,1,0,,218.7784699366763,,1076
2021-11-02,Tablet Mini,1.0,1,0,1,0,,215.77661699005,,1085
2021-11-02,Tablet Mini,1.0,1,0,1,0,,215.7753816922991,,1091
2021-11-02,Tablet Mini,1.0,5,0,1,0,,218.7743522775067,,1096
2021-11-02,Tablet Mini,1.0,2,0,1,0,,215.7739405115897,,1098
2021-11-02,Tablet Mini,1.0,3,0,1,0,,215.7727052138389,,1104
2021-11-02,Tablet Mini,1.0,3,0,1,0,,215.7722934479219,,1106
2021-11-02,Tablet Mini,1.0,1,0,1,0,,215.7720875649634,,1107
2021-11-02,Tablet Mini,1.0,4,0,1,0,,216.7698228524202,,1118
2021-11-02,Tablet Mini,0.9,12,0,1,0,,224.7692052035447,,1121
2021-11-02,Tablet Mini,1.0,3,0,1,0,,216.7677640228354,,1128
2021-11-02,Tablet Mini,1.0,2,0,1,0,,216.7654993102921,,1139
2021-11-02,Tablet Mini,1.0,5,0,1,0,,217.7644698954997,,1144
2021-11-02,Tablet Mini,1.0,2,0,1,0,,215.7632345977488,,1150
2021-11-02,Tablet Mini,0.9,6,0,1,0,,219.7609698852056,,1161
2021-11-02,Tablet Basic...,1.0,1,1,0,0,160.9594145865135,,,1165
2021-11-02,Tablet Mini,1.0,1,0,1,0,,215.7578816408283,,1176
2021-11-02,Tablet Mini,0.9,6,0,1,0,,218.756028694202,,1185
2021-11-02,Tablet Mini,1.0,1,0,1,0,,215.7554110453266,,1188
2021-11-02,Tablet Mini,1.0,3,0,1,0,,215.7541757475757,,1194
2021-11-02,Tablet Mini,1.0,1,0,1,0,,215.7539698646173,,1195
2021-11-02,Tablet Mini,1.0,1,0,1,0,,215.7537639816588,,1196
2021-11-02,Tablet Mini,1.0,1,0,1,0,,215.7506757372816,,1211
2021-11-02,Tablet Mini,1.0,3,0,1,0,,215.7484110247383,,1222
