date,product,discount,amount,Tablet Basic,Tablet Mini,Tablet Pro,kosten_basic,kosten_mini,kosten_pro,transaction_id
2021-11-01,Tablet Basic,1.0,5,1,0,0,300.0131765093427,,,16
2021-11-01,Tablet Basic,1.0,4,1,0,0,280.0140000411766,,,17
2021-11-01,Tablet Basic,0.9,3,1,0,0,280.0205882958479,,,25
2021-11-01,Tablet Basic,1.0,2,1,0,0,260.0370589325263,,,45
2021-11-01,Tablet Basic,1.0,3,1,0,0,280.039529528028,,,48
2021-11-01,Tablet Basic,1.0,2,1,0,0,280.0436471871976,,,53
2021-11-01,Tablet Basic,1.0,1,1,0,0,260.0576472283742,,,70
2021-11-01,Tablet Basic,1.0,2,1,0,0,280.0658825467134,,,80
2021-11-01,Tablet Basic,1.0,3,1,0,0,260.07988258789,,,97
2021-11-01,Tablet Basic,1.0,4,1,0,0,280.0807061197239,,,98
2021-11-01,Tablet Basic,1.0,3,1,0,0,260.0815296515578,,,99
2021-11-01,Tablet Basic,1.0,2,1,0,0,280.0938826290666,,,114
2021-11-01,Tablet Basic,1.0,2,1,0,0,260.0971767564022,,,118
2021-11-01,Tablet Basic,1.0,3,1,0,0,260.1021179474058,,,124
2021-11-01,Tablet Basic,1.0,2,1,0,0,260.1169415204163,,,142
2021-11-01,Tablet Basic,1.0,2,1,0,0,260.1383533480981,,,168
2021-11-01,Tablet Basic,1.0,2,1,0,0,260.149059261939,,,181
2021-11-01,Tablet Basic,1.0,1,1,0,0,260.1622357712816,,,197
2021-11-01,Tablet Basic,1.0,2,1,0,0,260.1836475989635,,,223
2021-11-01,Tablet Basic,1.0,2,1,0,0,260.2009417674758,,,244
2021-11-01,Tablet Basic,0.9,4,1,0,0,280.218235935988,,,265
2021-11-01,Tablet Basic,1.0,1,1,0,0,260.2445889546734,,,297
2021-11-01,Tablet Basic,0.9,3,1,0,0,300.278353759864,,,338
2021-11-01,Tablet Mini,1.0,2,0,1,0,,315.9275291986153,,352
2021-11-01,Tablet Mini,1.0,3,0,1,0,,315.9273233156568,,353
2021-11-01,Tablet Mini,1.0,2,0,1,0,,315.9269115497399,,355
2021-11-01,Tablet Mini,1.0,4,0,1,0,,316.9267056667813,,356
2021-11-01,Tablet Mini,1.0,1,0,1,0,,315.9242350712796,,368
2021-11-01,Tablet Mini,0.9,9,0,1,0,,321.9236174224042,,371
2021-11-01,Tablet Mini,1.0,3,0,1,0,,315.9197056461931,,390
2021-11-01,Tablet Mini,0.9,8,0,1,0,,320.9188821143592,,394
2021-11-01,Tablet Mini,1.0,2,0,1,0,,316.9184703484422,,396
2021-11-01,Tablet Mini,0.9,7,0,1,0,,319.9157938699819,,409
2021-11-01,Tablet Mini,1.0,3,0,1,0,,315.9139409233557,,418
2021-11-01,Tablet Mini,1.0,1,0,1,0,,315.9133232744802,,421
2021-11-01,Tablet Mini,1.0,2,0,1,0,,315.9131173915217,,422
2021-11-01,Tablet Mini,1.0,3,0,1,0,,315.9122938596878,,426
2021-11-01,Tablet Mini,1.0,3,0,1,0,,315.9116762108124,,429
2021-11-01,Tablet Mini,0.9,1,0,1,0,,315.9114703278539,,430
2021-11-01,Tablet Mini,1.0,3,0,1,0,,315.9048820731825,,462
2021-11-01,Tablet Mini,1.0,3,0,1,0,,315.9038526583902,,467
2021-11-01,Tablet Mini,1.0,4,0,1,0,,316.9024114776808,,474
2021-11-01,Tablet Mini,1.0,3,0,1,0,,315.8978820525942,,496
2021-11-01,Tablet Mini,1.0,2,0,1,0,,315.8976761696358,,497
2021-11-01,Tablet Mini,1.0,2,0,1,0,,316.8968526378019,,501
2021-11-01,Tablet Mini,0.9,7,0,1,0,,320.8925290956738,,522
2021-11-01,Tablet Mini,0.9,3,0,1,0,,317.8923232127153,,523
2021-11-01,Tablet Mini,1.0,1,0,1,0,,315.8921173297568,,524
2021-11-01,Tablet Mini,1.0,3,0,1,0,,315.8890290853797,,539
2021-11-01,Tablet Mini,1.0,3,0,1,0,,315.8863526069194,,552
2021-11-01,Tablet Mini,1.0,2,0,1,0,,316.885323192127,,557
2021-11-01,Tablet Mini,1.0,1,0,1,0,,315.8847055432516,,560
2021-11-01,Tablet Mini,1.0,2,0,1,0,,316.8834702455007,,566
2021-11-01,Tablet Basic,1.0,1,1,0,0,260.4760014000041,,,578
2021-11-01,Tablet Basic,1.0,3,1,0,0,260.4809425910076,,,584
2021-11-01,Tablet Mini,1.0,3,0,1,0,,315.8774996397048,,595
2021-11-01,Tablet Basic,1.0,2,1,0,0,260.497413227686,,,604
2021-11-01,Tablet Mini,1.0,2,0,1,0,,315.8735878634937,,614
2021-11-01,Tablet Mini,0.9,7,0,1,0,,319.8717349168674,,623
2021-11-01,Tablet Mini,1.0,1,0,1,0,,315.8715290339089,,624
2021-11-01,Tablet Mini,1.0,3,0,1,0,,316.870293736158,,630
2021-11-01,Tablet Mini,1.0,2,0,1,0,,315.8632937155697,,664
2021-11-01,Tablet Mini,1.0,2,0,1,0,,315.8610290030265,,675
2021-11-01,Tablet Mini,1.0,2,0,1,0,,316.8593819393586,,683
2021-11-01,Tablet Mini,1.0,2,0,1,0,,316.8587642904832,,686
2021-11-01,Tablet Mini,1.0,1,0,1,0,,315.8585584075247,,687
2021-11-01,Tablet Mini,1.0,3,0,1,0,,315.8581466416078,,689
2021-11-01,Tablet Mini,1.0,3,0,1,0,,315.8577348756908,,691
2021-11-01,Tablet Mini,1.0,2,0,1,0,,315.8554701631475,,702
2021-11-01,Tablet Pro,1.0,4,0,0,1,,,735.4366777549346,707
2021-11-01,Tablet Pro,1.0,2,0,0,1,,,775.4391483504363,711
2021-11-01,Tablet Pro,1.0,3,0,0,1,,,775.442854243689,717
2021-11-01,Tablet Pro,1.0,3,0,0,1,,,775.4434718925644,718
2021-11-01,Tablet Pro,1.0,1,0,0,1,,,775.4440895414398,719
2021-11-01,Tablet Pro,1.0,2,0,0,1,,,775.4490307324434,727
2021-11-01,Tablet Pro,1.0,1,0,0,1,,,775.4502660301941,729
2021-11-01,Tablet Pro,1.0,2,0,0,1,,,775.4521189768205,732
2021-11-01,Tablet Pro,1.0,2,0,0,1,,,775.4539719234468,735
2021-11-01,Tablet Pro,1.0,3,0,0,1,,,775.462619007703,749
2021-11-01,Tablet Pro,1.0,4,0,0,1,,,735.4632366565784,750
2021-11-01,Tablet Pro,1.0,2,0,0,1,,,775.4805308250907,778
2021-11-01,Tablet Pro,1.0,3,0,0,1,,,775.4836190694679,783
2021-11-01,Tablet Pro,1.0,2,0,0,1,,,775.4854720160941,786
2021-11-02,Tablet Mini,1.0,4,0,1,0,,316.8324112717979,,814
2021-11-02,Tablet Mini,1.0,2,0,1,0,,316.820881826123,,870
2021-11-02,Tablet Mini,1.0,1,0,1,0,,315.8188229965382,,880
2021-11-02,Tablet Mini,1.0,2,0,1,0,,315.8171759328704,,888
2021-11-02,Tablet Mini,0.9,8,0,1,0,,320.816146518078,,893
2021-11-02,Tablet Mini,0.9,2,0,1,0,,315.8134700396178,,906
2021-11-02,Tablet Basic,1.0,2,1,0,0,280.7543551598681,,,916
2021-11-02,Tablet Basic,1.0,3,1,0,0,260.7625904782073,,,926
2021-11-02,Tablet Basic,0.9,4,1,0,0,300.7700022647125,,,935
2021-11-02,Tablet Basic,1.0,2,1,0,0,260.784825837723,,,953
2021-11-02,Tablet Basic,1.0,4,1,0,0,280.8120023882423,,,986
2021-11-02,Tablet Basic,1.0,3,1,0,0,260.815296515578,,,990
2021-11-02,Tablet Basic,1.0,1,1,0,0,260.8482377889347,,,1030
2021-11-02,Tablet Mini,1.0,3,0,1,0,,315.7838228935967,,1050
2021-11-02,Tablet Mini,0.9,6,0,1,0,,318.7836170106383,,1051
2021-11-02,Tablet Mini,1.0,1,0,1,0,,315.7823817128874,,1057
2021-11-02,Tablet Mini,1.0,3,0,1,0,,317.7803228833026,,1067
2021-11-02,Tablet Mini,1.0,4,0,1,0,,316.7772346389254,,1082
2021-11-02,Tablet Mini,0.9,5,0,1,0,,317.7757934582161,,1089
2021-11-02,Tablet Mini,1.0,3,0,1,0,,315.7745581604652,,1095
2021-11-02,Tablet Mini,1.0,2,0,1,0,,315.7735287456728,,1100
2021-11-02,Tablet Mini,1.0,5,0,1,0,,317.7657051932506,,1138
2021-11-02,Tablet Mini,1.0,3,0,1,0,,315.7626169488734,,1153
2021-11-02,Tablet Mini,1.0,1,0,1,0,,315.761587534081,,1158
2021-11-02,Tablet Mini,1.0,2,0,1,0,,316.7533522157418,,1198
2021-11-02,Tablet Mini,1.0,2,0,1,0,,315.751705152074,,1206
2021-11-02,Tablet Mini,0.9,6,0,1,0,,318.7492345565722,,1218
2021-11-02,Tablet Mini,1.0,3,0,1,0,,315.7442933655688,,1242
2021-11-02,Tablet Mini,1.0,5,0,1,0,,317.7426463019009,,1250
2021-11-02,Tablet Mini,1.0,2,0,1,0,,315.7412051211915,,1257
2021-11-02,Tablet Mini,1.0,3,0,1,0,,315.7401757063992,,1262
2021-11-02,Tablet Mini,1.0,3,0,1,0,,315.7397639404822,,1264
2021-11-02,Tablet Mini,1.0,2,0,1,0,,316.7383227597728,,1271
2021-11-02,Tablet Basic,1.0,1,1,0,0,261.0532972155801,,,1279
