date,product,discount,amount,Tablet Basic,Tablet Mini,Tablet Pro,kosten_basic,kosten_mini,kosten_pro,transaction_id
2021-11-01,Tablet Basic,0.9,5,1,0,0,200.0016470636678,,,2
2021-11-01,Tablet Basic,0.9,1,1,0,0,160.0477648463672,,,58
2021-11-01,Tablet Basic,1.0,3,1,0,0,180.0560001647064,,,68
2021-11-01,Tablet Basic,1.0,2,1,0,0,180.0601178238759,,,73
2021-11-01,Tablet Basic,0.9,4,1,0,0,200.0675296103812,,,82
2021-11-01,Tablet Basic,0.9,1,1,0,0,160.0741178650525,,,90
2021-11-01,Tablet Basic,0.9,3,1,0,0,180.089764969897,,,109
2021-11-01,Tablet Basic,1.0,3,1,0,0,180.0914120335648,,,111
2021-11-01,Tablet Basic,1.0,3,1,0,0,160.0930590972326,,,113
2021-11-01,Tablet Basic,1.0,4,1,0,0,180.1012944155718,,,123
2021-11-01,Tablet Basic,0.9,2,1,0,0,160.1054120747414,,,128
2021-11-01,Tablet Basic,1.0,2,1,0,0,180.109529733911,,,133
2021-11-01,Tablet Basic,0.9,2,1,0,0,160.129294497925,,,157
2021-11-01,Tablet Basic,0.9,2,1,0,0,160.1317650934267,,,160
2021-11-01,Tablet Basic,1.0,3,1,0,0,180.1325886252607,,,161
2021-11-01,Tablet Basic,0.9,2,1,0,0,180.1400004117659,,,170
2021-11-01,Tablet Basic,1.0,2,1,0,0,160.1424710072677,,,173
2021-11-01,Tablet Basic,1.0,2,1,0,0,160.1432945391016,,,174
2021-11-01,Tablet Basic,1.0,3,1,0,0,180.1482357301051,,,180
2021-11-01,Tablet Basic,0.9,5,1,0,0,220.1704710896209,,,207
2021-11-01,Tablet Basic,1.0,2,1,0,0,160.1927064491366,,,234
2021-11-01,Tablet Basic,1.0,1,1,0,0,160.1935299809705,,,235
2021-11-01,Tablet Basic,0.9,5,1,0,0,220.2338830408325,,,284
2021-11-01,Tablet Basic,1.0,1,1,0,0,160.2355301045003,,,286
2021-11-01,Tablet Basic,0.9,5,1,0,0,240.2404712955038,,,292
2021-11-01,Tablet Basic,0.9,3,1,0,0,200.2421183591716,,,294
2021-11-01,Tablet Basic,0.9,7,1,0,0,240.2462360183412,,,299
2021-11-01,Tablet Basic,0.9,9,1,0,0,300.2594125276839,,,315
2021-11-01,Tablet Mini,1.0,3,0,1,0,,215.9262939008644,,358
2021-11-01,Tablet Mini,1.0,1,0,1,0,,215.9238233053627,,370
2021-11-01,Tablet Mini,1.0,3,0,1,0,,215.9215585928194,,381
2021-11-01,Tablet Mini,1.0,1,0,1,0,,215.9174409336498,,401
2021-11-01,Tablet Mini,1.0,3,0,1,0,,215.9155879870235,,410
2021-11-01,Tablet Mini,1.0,3,0,1,0,,215.9145585722311,,415
2021-11-01,Tablet Mini,1.0,1,0,1,0,,215.9137350403972,,419
2021-11-01,Tablet Mini,1.0,2,0,1,0,,215.9124997426463,,425
2021-11-01,Tablet Mini,1.0,3,0,1,0,,215.9118820937709,,428
2021-11-01,Tablet Mini,1.0,2,0,1,0,,215.9096173812276,,439
2021-11-01,Tablet Mini,1.0,1,0,1,0,,215.9085879664352,,444
2021-11-01,Tablet Mini,1.0,1,0,1,0,,215.9077644346013,,448
2021-11-01,Tablet Mini,1.0,3,0,1,0,,215.9073526686843,,450
2021-11-01,Tablet Mini,1.0,2,0,1,0,,215.9069409027674,,452
2021-11-01,Tablet Mini,1.0,2,0,1,0,,215.9067350198089,,453
2021-11-01,Tablet Mini,0.9,7,0,1,0,,220.9061173709334,,456
2021-11-01,Tablet Mini,1.0,1,0,1,0,,215.9052938390995,,460
2021-11-01,Tablet Mini,0.9,5,0,1,0,,217.9019997117639,,476
2021-11-01,Tablet Mini,1.0,2,0,1,0,,215.9017938288054,,477
2021-11-01,Tablet Mini,1.0,2,0,1,0,,216.8991173503451,,490
2021-11-01,Tablet Mini,1.0,2,0,1,0,,216.896029105968,,505
2021-11-01,Tablet Mini,1.0,4,0,1,0,,216.8949996911756,,510
2021-11-01,Tablet Mini,1.0,2,0,1,0,,216.8947938082171,,511
2021-11-01,Tablet Mini,1.0,2,0,1,0,,216.8943820423001,,513
2021-11-01,Tablet Mini,0.9,3,0,1,0,,215.8910879149645,,529
2021-11-01,Tablet Mini,1.0,2,0,1,0,,215.890882032006,,530
2021-11-01,Tablet Mini,1.0,2,0,1,0,,215.8902643831305,,533
2021-11-01,Tablet Mini,0.9,6,0,1,0,,219.8855290750855,,556
2021-11-01,Tablet Mini,1.0,3,0,1,0,,217.8840878943762,,563
2021-11-01,Tablet Mini,1.0,4,0,1,0,,216.8832643625422,,567
2021-11-01,Tablet Mini,1.0,2,0,1,0,,215.8830584795838,,568
2021-11-01,Tablet Basic,1.0,3,1,0,0,160.4883543775129,,,593
2021-11-01,Tablet Mini,0.9,5,0,1,0,,218.8772937567464,,596
2021-11-01,Tablet Mini,1.0,2,0,1,0,,215.8733819805352,,615
2021-11-01,Tablet Mini,1.0,2,0,1,0,,215.8729702146183,,617
2021-11-01,Tablet Mini,1.0,2,0,1,0,,216.8727643316598,,618
2021-11-01,Tablet Mini,1.0,6,0,1,0,,218.8725584487013,,619
2021-11-01,Tablet Mini,1.0,2,0,1,0,,215.8696760872826,,633
2021-11-01,Tablet Mini,1.0,2,0,1,0,,215.865558428113,,653
2021-11-01,Tablet Mini,0.9,4,0,1,0,,218.8634995985282,,663
2021-11-01,Tablet Mini,1.0,5,0,1,0,,217.8628819496528,,666
2021-11-01,Tablet Mini,1.0,1,0,1,0,,215.8624701837358,,668
2021-11-01,Tablet Mini,1.0,3,0,1,0,,215.8622643007774,,669
2021-11-01,Tablet Mini,1.0,3,0,1,0,,215.861234885985,,674
2021-11-01,Tablet Mini,1.0,1,0,1,0,,215.8583525245662,,688
2021-11-01,Tablet Mini,1.0,1,0,1,0,,215.8579407586493,,690
2021-11-01,Tablet Mini,1.0,3,0,1,0,,215.8573231097739,,693
2021-11-01,Tablet Basic,0.9,4,1,0,0,220.5789428792438,,,703
2021-11-01,Tablet Pro,1.0,2,0,0,1,,,695.4447071903153,720
2021-11-01,Tablet Pro,1.0,2,0,0,1,,,695.4638543054539,751
2021-11-01,Tablet Basic,1.0,2,1,0,0,160.6250606619431,,,759
2021-11-01,Tablet Basic,1.0,3,1,0,0,200.6283547892788,,,763
2021-11-01,Tablet Basic,1.0,2,1,0,0,160.6324724484484,,,768
2021-11-01,Tablet Pro,1.0,1,0,0,1,,,695.4780602295889,774
2021-11-02,Tablet Basic,0.9,7,1,0,0,240.6505901487945,,,790
2021-11-02,Tablet Basic,1.0,3,1,0,0,180.6621195944694,,,804
2021-11-02,Tablet Basic,0.9,4,1,0,0,220.6711784446425,,,815
2021-11-02,Tablet Basic,1.0,4,1,0,0,180.6777666993138,,,823
2021-11-02,Tablet Basic,0.9,5,1,0,0,220.6794137629817,,,825
2021-11-02,Tablet Basic,0.9,3,1,0,0,180.6884726131547,,,836
2021-11-02,Tablet Basic,1.0,3,1,0,0,160.6925902723243,,,841
2021-11-02,Tablet Mini,1.0,1,0,1,0,,215.8256171341681,,847
2021-11-02,Tablet Mini,1.0,1,0,1,0,,215.8243818364172,,853
2021-11-02,Tablet Mini,1.0,3,0,1,0,,215.8237641875417,,856
2021-11-02,Tablet Mini,1.0,1,0,1,0,,215.8235583045833,,857
2021-11-02,Tablet Mini,1.0,2,0,1,0,,216.8225288897908,,862
2021-11-02,Tablet Mini,1.0,3,0,1,0,,215.8223230068324,,863
2021-11-02,Tablet Mini,1.0,4,0,1,0,,216.8210877090815,,869
2021-11-02,Tablet Basic,0.9,2,1,0,0,160.7477669051968,,,908
2021-11-02,Tablet Basic,0.9,1,1,0,0,160.765061073709,,,929
2021-11-02,Tablet Basic,1.0,1,1,0,0,160.7716493283804,,,937
2021-11-02,Tablet Basic,0.9,3,1,0,0,160.7831787740552,,,951
2021-11-02,Tablet Basic,1.0,1,1,0,0,160.7947082197301,,,965
2021-11-02,Tablet Basic,0.9,1,1,0,0,160.795531751564,,,966
2021-11-02,Tablet Basic,0.9,1,1,0,0,160.8062376654049,,,979
2021-11-02,Tablet Basic,1.0,3,1,0,0,200.8218847702493,,,998
2021-11-02,Tablet Mini,1.0,3,0,1,0,,215.7877346698079,,1031
2021-11-02,Tablet Mini,1.0,4,0,1,0,,217.7875287868494,,1032
