date,product,discount,amount,Tablet Basic,Tablet Mini,Tablet Pro,kosten_basic,kosten_mini,kosten_pro,transaction_id
2021-11-01,Tablet Pro,1.0,4,0,0,1,,,695.0,0
2021-11-01,Tablet Basic,0.9,4,1,0,0,320.0041176591696,,,5
2021-11-01,Tablet Basic,0.9,3,1,0,0,280.0230588913497,,,28
2021-11-01,Tablet Basic,1.0,3,1,0,0,260.029647146021,,,36
2021-11-01,Tablet Basic,0.9,5,1,0,0,300.0312942096888,,,38
2021-11-01,Tablet Basic,1.0,4,1,0,0,320.0428236553637,,,52
2021-11-01,Tablet Basic,1.0,2,1,0,0,260.0461177826994,,,56
2021-11-01,Tablet Basic,1.0,3,1,0,0,260.1367062844303,,,166
2021-11-01,Tablet Basic,1.0,1,1,0,0,260.1498827937729,,,182
2021-11-01,Tablet Basic,1.0,4,1,0,0,280.1630593031156,,,198
2021-11-01,Tablet Basic,1.0,1,1,0,0,260.17870640796,,,217
2021-11-01,Tablet Basic,1.0,2,1,0,0,260.1877652581331,,,228
2021-11-01,Tablet Basic,1.0,2,1,0,0,260.1918829173027,,,233
2021-11-01,Tablet Basic,0.9,4,1,0,0,300.1951770446384,,,237
2021-11-01,Tablet Basic,1.0,1,1,0,0,260.209177085815,,,254
2021-11-01,Tablet Basic,0.9,2,1,0,0,260.2100006176489,,,255
2021-11-01,Tablet Basic,0.9,5,1,0,0,320.2552948685143,,,310
2021-11-01,Tablet Basic,1.0,1,1,0,0,260.2701184415248,,,328
2021-11-01,Tablet Basic,1.0,2,1,0,0,280.2734125688605,,,332
2021-11-01,Tablet Mini,1.0,2,0,1,0,,315.925264486072,,363
2021-11-01,Tablet Mini,1.0,2,0,1,0,,315.9250586031135,,364
2021-11-01,Tablet Mini,1.0,2,0,1,0,,315.9234115394457,,372
2021-11-01,Tablet Mini,1.0,3,0,1,0,,315.9229997735288,,374
2021-11-01,Tablet Mini,1.0,4,0,1,0,,317.9225880076118,,376
2021-11-01,Tablet Mini,0.9,8,0,1,0,,321.9221762416948,,378
2021-11-01,Tablet Mini,1.0,2,0,1,0,,315.92011741211,,388
2021-11-01,Tablet Mini,1.0,2,0,1,0,,315.9178526995668,,399
2021-11-01,Tablet Mini,1.0,1,0,1,0,,315.9176468166083,,400
2021-11-01,Tablet Mini,0.9,8,0,1,0,,321.9166174018159,,405
2021-11-01,Tablet Mini,1.0,1,0,1,0,,315.915382104065,,411
2021-11-01,Tablet Mini,0.9,8,0,1,0,,321.9120879767294,,427
2021-11-01,Tablet Mini,1.0,2,0,1,0,,315.911058561937,,432
2021-11-01,Tablet Mini,1.0,3,0,1,0,,315.9087938493936,,443
2021-11-01,Tablet Mini,1.0,2,0,1,0,,315.905499722058,,459
2021-11-01,Tablet Mini,1.0,1,0,1,0,,315.9042644243071,,465
2021-11-01,Tablet Mini,1.0,2,0,1,0,,315.9032350095147,,470
2021-11-01,Tablet Mini,1.0,6,0,1,0,,318.9022055947223,,475
2021-11-01,Tablet Mini,1.0,4,0,1,0,,316.9013820628884,,479
2021-11-01,Tablet Mini,1.0,2,0,1,0,,315.8970585207604,,500
2021-11-01,Tablet Mini,1.0,2,0,1,0,,316.8966467548434,,502
2021-11-01,Tablet Mini,1.0,2,0,1,0,,315.8939702763832,,515
2021-11-01,Tablet Mini,1.0,3,0,1,0,,315.8927349786323,,521
2021-11-01,Tablet Mini,1.0,1,0,1,0,,315.8917055638399,,526
2021-11-01,Tablet Basic,1.0,1,1,0,0,260.4801190591737,,,583
2021-11-01,Tablet Basic,1.0,1,1,0,0,260.5031779505234,,,611
2021-11-01,Tablet Mini,1.0,5,0,1,0,,317.8731760975768,,616
2021-11-01,Tablet Mini,1.0,3,0,1,0,,315.8686466724902,,638
2021-11-01,Tablet Mini,1.0,1,0,1,0,,315.8678231406563,,642
2021-11-01,Tablet Mini,1.0,4,0,1,0,,318.8674113747393,,644
2021-11-01,Tablet Mini,0.9,3,0,1,0,,317.8667937258639,,647
