date,product,discount,amount,Tablet Basic,Tablet Mini,Tablet Pro,kosten_basic,kosten_mini,kosten_pro,transaction_id
2021-11-01,Tablet Basic,,3,1,0,0,160.0214118276818,,,26
2021-11-01,Tablet Basic,0.9,2,1,0,0,160.0543531010385,,,66
2021-11-01,Tablet Basic,0.9,4,1,0,0,180.1185885840841,,,144
2021-11-01,Tablet Basic,,2,1,0,0,160.1227062432537,,,149
2021-11-01,Tablet Basic,,2,1,0,0,180.1548239847764,,,188
2021-11-01,Tablet Basic,0.9,6,1,0,0,220.2025888311436,,,246
2021-11-01,Tablet Basic,,2,1,0,0,160.2075300221471,,,252
2021-11-01,Tablet Basic,,1,1,0,0,160.2412948273377,,,293
2021-11-01,Tablet Basic,,1,1,0,0,160.2470595501752,,,300
2021-11-01,Tablet Basic,,3,1,0,0,160.2495301456769,,,303
2021-11-01,Tablet Basic,,1,1,0,0,160.2857655463692,,,347
2021-11-01,Tablet Mini,,1,0,1,0,,215.925676251989,,361
2021-11-01,Tablet Mini,,4,0,1,0,,217.9240291883211,,369
2021-11-01,Tablet Mini,,4,0,1,0,,216.9227938905703,,375
2021-11-01,Tablet Mini,,2,0,1,0,,215.9219703587364,,379
2021-11-01,Tablet Mini,,3,0,1,0,,215.9209409439439,,384
2021-11-01,Tablet Mini,,1,0,1,0,,215.9203232950685,,387
2021-11-01,Tablet Mini,,3,0,1,0,,215.9182644654837,,397
2021-11-01,Tablet Mini,,3,0,1,0,,217.9143526892726,,416
2021-11-01,Tablet Mini,,2,0,1,0,,216.9104409130615,,435
2021-11-01,Tablet Mini,,1,0,1,0,,215.9092056153106,,441
2021-11-01,Tablet Mini,,2,0,1,0,,215.9063232538919,,455
2021-11-01,Tablet Mini,,1,0,1,0,,215.905911487975,,457
2021-11-01,Tablet Mini,0.9,9,0,1,0,,222.9044703072656,,464
2021-11-01,Tablet Mini,,3,0,1,0,,215.9040585413487,,466
2021-11-01,Tablet Mini,,3,0,1,0,,216.9009702969715,,481
2021-11-01,Tablet Mini,,4,0,1,0,,216.900352648096,,484
2021-11-01,Tablet Mini,0.9,3,0,1,0,,216.8989114673867,,491
2021-11-01,Tablet Mini,,3,0,1,0,,215.8964408718849,,503
2021-11-01,Tablet Mini,,2,0,1,0,,215.895617340051,,507
2021-11-01,Tablet Mini,,3,0,1,0,,217.8954114570925,,508
2021-11-01,Tablet Mini,0.9,6,0,1,0,,218.8937643934247,,516
2021-11-01,Tablet Mini,,2,0,1,0,,215.8906761490475,,531
2021-11-01,Tablet Mini,,1,0,1,0,,215.8884114365042,,542
2021-11-01,Tablet Mini,,1,0,1,0,,215.8867643728364,,550
2021-11-01,Tablet Mini,,1,0,1,0,,215.8859408410025,,554
2021-11-01,Tablet Mini,,1,0,1,0,,215.8851173091685,,558
2021-11-01,Tablet Mini,,3,0,1,0,,216.8849114262101,,559
2021-11-01,Tablet Basic,,2,1,0,0,160.4842367183433,,,588
2021-11-01,Tablet Mini,0.9,2,0,1,0,,216.8777055226633,,594
2021-11-01,Tablet Mini,,2,0,1,0,,215.8766761078709,,599
2021-11-01,Tablet Mini,,3,0,1,0,,215.8704996191165,,629
2021-11-01,Tablet Mini,,1,0,1,0,,215.8682349065733,,640
2021-11-01,Tablet Mini,,2,0,1,0,,216.8657643110715,,652
2021-11-01,Tablet Mini,,3,0,1,0,,216.8637054814867,,662
2021-11-01,Tablet Mini,0.9,13,0,1,0,,225.8606172371095,,677
2021-11-01,Tablet Mini,,3,0,1,0,,216.8599995882341,,680
2021-11-01,Tablet Mini,,2,0,1,0,,215.8591760564002,,684
2021-11-01,Tablet Mini,,2,0,1,0,,215.8567054608984,,696
2021-11-01,Tablet Mini,,2,0,1,0,,215.8564995779399,,697
2021-11-01,Tablet Mini,0.9,7,0,1,0,,220.8558819290645,,700
2021-11-01,Tablet Pro,,2,0,0,1,,,655.4403836481872,713
2021-11-01,Tablet Pro,,1,0,0,1,,,695.4533542745714,734
2021-11-01,Tablet Pro,,1,0,0,1,,,695.4545895723222,736
2021-11-01,Tablet Pro,,1,0,0,1,,,695.4552072211977,737
2021-11-01,Tablet Pro,,2,0,0,1,,,695.4669425498311,756
2021-11-01,Tablet Pro,,1,0,0,1,,,695.4786778784644,775
2021-11-01,Tablet Pro,,4,0,0,1,,,615.4842367183433,784
2021-11-02,Tablet Mini,,1,0,1,0,,215.8254112512096,,848
2021-11-02,Tablet Mini,,3,0,1,0,,215.8247936023341,,851
2021-11-02,Tablet Mini,,2,0,1,0,,215.8227347727493,,861
2021-11-02,Tablet Mini,,3,0,1,0,,217.8217053579569,,866
