date,product,discount,amount,Tablet Basic,Tablet Mini,Tablet Pro,kosten_basic,kosten_mini,kosten_pro,transaction_id
2021-11-01,Tablet Basic,1.0,2,1,0,0,260.0049411910035,,,6
2021-11-01,Tablet Basic,1.0,3,1,0,0,260.009882382007,,,12
2021-11-01,Tablet Basic,0.9,6,1,0,0,360.0115294456749,,,14
2021-11-01,Tablet Basic,1.0,2,1,0,0,260.0156471048444,,,19
2021-11-01,Tablet Basic,1.0,3,1,0,0,260.0255294868514,,,31
2021-11-01,Tablet Basic,1.0,1,1,0,0,260.0502354418689,,,61
2021-11-01,Tablet Basic,1.0,3,1,0,0,260.088941438063,,,108
2021-11-01,Tablet Basic,1.0,3,1,0,0,260.0963532245683,,,117
2021-11-01,Tablet Basic,1.0,3,1,0,0,260.1309415615929,,,159
2021-11-01,Tablet Basic,1.0,1,1,0,0,260.1416474754337,,,172
2021-11-01,Tablet Basic,0.9,3,1,0,0,300.1811770034618,,,220
2021-11-01,Tablet Basic,0.9,1,1,0,0,260.2034123629775,,,247
2021-11-01,Tablet Basic,1.0,3,1,0,0,260.2297653816629,,,279
2021-11-01,Tablet Basic,1.0,3,1,0,0,260.2314124453308,,,281
2021-11-01,Tablet Basic,1.0,3,1,0,0,260.238824231836,,,290
2021-11-01,Tablet Basic,0.9,3,1,0,0,300.2725890370266,,,331
2021-11-01,Tablet Basic,0.9,4,1,0,0,300.2791772916979,,,339
2021-11-01,Tablet Basic,1.0,2,1,0,0,260.2849420145353,,,346
2021-11-01,Tablet Mini,1.0,1,0,1,0,,315.9264997838229,,357
2021-11-01,Tablet Mini,1.0,2,0,1,0,,315.9254703690305,,362
2021-11-01,Tablet Mini,1.0,3,0,1,0,,315.9223821246533,,377
2021-11-01,Tablet Mini,1.0,3,0,1,0,,315.9211468269024,,383
2021-11-01,Tablet Mini,1.0,4,0,1,0,,316.920529178027,,386
2021-11-01,Tablet Mini,1.0,3,0,1,0,,317.9172350506913,,402
2021-11-01,Tablet Mini,1.0,2,0,1,0,,316.9141468063141,,417
2021-11-01,Tablet Mini,1.0,3,0,1,0,,315.9046761902241,,463
2021-11-01,Tablet Mini,1.0,2,0,1,0,,315.8987055844282,,492
2021-11-01,Tablet Mini,0.9,4,0,1,0,,316.895205574134,,509
2021-11-01,Tablet Mini,1.0,1,0,1,0,,315.8935585104662,,517
2021-11-01,Tablet Mini,1.0,3,0,1,0,,315.890470266089,,532
2021-11-01,Tablet Mini,1.0,2,0,1,0,,315.8896467342551,,536
2021-11-01,Tablet Mini,0.9,5,0,1,0,,317.8888232024212,,540
2021-11-01,Tablet Mini,1.0,3,0,1,0,,315.885734958044,,555
2021-11-01,Tablet Mini,0.9,4,0,1,0,,318.8783231715387,,591
2021-11-01,Tablet Basic,1.0,2,1,0,0,260.5015308868556,,,609
